Ticker,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
ADANIENT,1,0.84580646,0.594806671,-0.186478845,0.537048215,0.634550753,0.080112622,-0.437308755,0.597634493,0.482298132,0.759587108,0.447274203,0.654769437,0.762159692,0.568855075,0.480596158,0.507492828,0.440868865,0.045732274,-0.129851535,0.722860382,0.538512728,-0.023991323,0.496329023,0.141291115,0.333241523,0.011337919,0.500641765,0.102311259,0.811118074,0.458802115,0.576768942,0.484727492,0.684552598,0.705151288,0.662056006,0.848927867,0.379075848,0.699864777,0.469427818,0.555206053,0.783298607,0.783964958,0.732032711,0.601374844,0.306188359,0.457117997,0.436790278,0.590462071,0.609773991
ADANIPORTS,0.84580646,1,0.815085452,-0.24651975,0.770206961,0.887717997,0.215085481,-0.48612778,0.900377104,0.819970477,0.941067849,0.729383069,0.893969644,0.958840122,0.833251824,0.809143193,0.859428648,0.628888616,0.316019929,0.169770051,0.927167255,0.804026435,0.23891257,0.831920596,-0.195635123,0.60450654,0.33437199,0.76775078,0.100026739,0.854855717,0.802966502,0.783546204,0.357642916,0.927943986,0.932967814,0.942615509,0.89979351,0.681708919,0.925260666,0.793996811,0.833257692,0.823057279,0.91652255,0.834255271,0.81748244,0.659344436,0.215162398,0.779358348,0.855520935,0.798804124
APOLLOHOSP,0.594806671,0.815085452,1,-0.157872092,0.607392179,0.8937533,0.509149567,-0.410891761,0.752138574,0.865525104,0.872683539,0.761879692,0.895505596,0.800067116,0.857217757,0.720422216,0.807365446,0.912644575,0.4292884,0.483689449,0.813079808,0.721500782,0.38817311,0.853108332,-0.447425457,0.843184326,0.530459273,0.800106177,0.2347336,0.712629124,0.758609781,0.563828092,0.167141077,0.901042715,0.795543103,0.830933909,0.645385926,0.817297874,0.739884961,0.900181696,0.94802601,0.668899112,0.687952257,0.520928616,0.861909553,0.849916588,0.26891992,0.877633029,0.830026973,0.906900067
ASIANPAINT,-0.186478845,-0.24651975,-0.157872092,1,0.000970626,-0.162563246,0.46344383,0.60942709,-0.246262665,-0.178032619,-0.252439681,0.244527985,-0.201212243,-0.20012594,-0.066455105,-0.166483957,-0.128088457,-0.084115324,0.298623142,0.383915117,-0.134135613,-0.08313927,0.609737065,-0.211488342,0.441990872,0.106584417,0.4608872,-0.060194283,0.575571426,-0.140669429,-0.212399036,-0.299957022,0.332442266,-0.14794419,-0.239636093,-0.266174449,-0.221455517,0.206655096,-0.426789545,-0.030135909,-0.210303635,-0.005592685,-0.247490702,-0.35743332,-0.038384118,-0.030904543,0.370941672,-0.09311834,0.017379065,-0.230921469
AXISBANK,0.537048215,0.770206961,0.607392179,0.000970626,1,0.742849691,0.334558016,-0.155249509,0.863011468,0.767627354,0.674179615,0.795816648,0.695299963,0.737841536,0.643701242,0.839800586,0.848108109,0.453107059,0.63465757,0.258352731,0.836953152,0.834663521,0.474329996,0.819640692,-0.205323701,0.540265934,0.464063994,0.811116862,0.275503117,0.653209135,0.822275058,0.596535442,0.32696593,0.769117018,0.663991441,0.820524435,0.649850408,0.600854791,0.772675221,0.740759334,0.62085434,0.531075651,0.596831035,0.709667924,0.59647136,0.681483065,0.002642902,0.735466314,0.867693854,0.674542527
BAJAJ-AUTO,0.634550753,0.887717997,0.8937533,-0.162563246,0.742849691,1,0.516364714,-0.322936749,0.872666624,0.951009914,0.924263269,0.828766883,0.951692014,0.896068181,0.834473834,0.847652447,0.9023198,0.751969883,0.453886291,0.383915956,0.931282081,0.868757341,0.424006715,0.920296036,-0.348109106,0.72627912,0.520786103,0.883736704,0.17060042,0.746204717,0.893160261,0.793629742,0.29611075,0.956263205,0.850436611,0.931857552,0.728359469,0.821833059,0.851752907,0.937393352,0.9455713,0.711379517,0.786309113,0.745495897,0.82260546,0.801832202,0.199710408,0.936382715,0.860869141,0.816422691
BAJAJFINSV,0.080112622,0.215085481,0.509149567,0.46344383,0.334558016,0.516364714,1,0.385475601,0.24828794,0.517992918,0.32378312,0.609396575,0.406703809,0.229484612,0.376977195,0.354211702,0.433513116,0.567612904,0.579713859,0.698351885,0.344492716,0.447122055,0.643658245,0.489161881,-0.154909179,0.594744822,0.705144027,0.58552994,0.533760472,0.278012876,0.400052822,0.201553836,0.198499746,0.459746658,0.182560095,0.297133191,0.042375282,0.689048533,0.126642606,0.618333114,0.518523118,0.193070114,0.088077096,0.066393742,0.416617984,0.564844058,0.357228675,0.575921467,0.448904636,0.383862096
BAJFINANCE,-0.437308755,-0.48612778,-0.410891761,0.60942709,-0.155249509,-0.322936749,0.385475601,1,-0.353268317,-0.280085912,-0.553193111,-0.099784306,-0.416787367,-0.511341485,-0.436259087,-0.302316924,-0.286397225,-0.345506685,0.250851225,0.154158439,-0.375013119,-0.201774656,0.279955433,-0.302548116,0.290751563,-0.226029828,0.202960578,-0.15567042,0.378103121,-0.325635745,-0.258044736,-0.30729597,0.026872088,-0.400142259,-0.531657933,-0.454651084,-0.473331491,-0.154123357,-0.517512809,-0.204817706,-0.418315089,-0.422036983,-0.532979983,-0.336864523,-0.415927978,-0.219030096,0.038963067,-0.267962633,-0.261171636,-0.43476574
BEL,0.597634493,0.900377104,0.752138574,-0.246262665,0.863011468,0.872666624,0.24828794,-0.353268317,1,0.904269754,0.839831222,0.796570303,0.86083389,0.889724887,0.780023793,0.935374535,0.945538797,0.566125085,0.538497438,0.300118447,0.900283307,0.904585462,0.382344935,0.908998699,-0.415287879,0.618484459,0.476032456,0.873037131,0.113773167,0.729187691,0.94932351,0.770721866,0.159640531,0.905960804,0.850690857,0.957863666,0.723472192,0.682444019,0.92534871,0.841850924,0.804529726,0.603617905,0.761130847,0.811677038,0.723380717,0.77700371,-0.093156266,0.863241918,0.894776831,0.751017121
BHARTIARTL,0.482298132,0.819970477,0.865525104,-0.178032619,0.767627354,0.951009914,0.517992918,-0.280085912,0.904269754,1,0.84921228,0.856598758,0.899716584,0.829430424,0.806901571,0.895839497,0.942273536,0.745889442,0.587043158,0.491453634,0.877966985,0.907002238,0.489788508,0.966673626,-0.54178328,0.765812761,0.623880545,0.926815377,0.17006239,0.655301874,0.952157014,0.726138751,0.083065089,0.940136116,0.791537124,0.922191773,0.5863838,0.810911592,0.832021987,0.956799357,0.932369597,0.552206871,0.662700308,0.673596683,0.766584015,0.89626086,-0.009407435,0.976263678,0.869262957,0.802270121
