Ticker,Ticker2,Correlation,,,,,,,,,,
ADANIENT,ADANIENT,100.00%,,,,,,,,,,
ADANIPORTS,ADANIENT,84.58%,,,,,,,,,,
APOLLOHOSP,ADANIENT,59.48%,,,,,,,,,,
ASIANPAINT,ADANIENT,-18.65%,,,,,,,,,,
AXISBANK,ADANIENT,53.70%,,,,,,,,,,
BAJAJ-AUTO,ADANIENT,63.46%,,,,,,,,,,
BAJAJFINSV,ADANIENT,8.01%,,,,,,,,,,
BAJFINANCE,ADANIENT,-43.73%,,,,,,,,,,
BEL,ADANIENT,59.76%,,,,,,,,,,
BHARTIARTL,ADANIENT,48.23%,,,,,,,,,,
BPCL,ADANIENT,75.96%,,,,,,,,,,
BRITANNIA,ADANIENT,44.73%,,,,,,,,,,
CIPLA,ADANIENT,65.48%,,,,,,,,,,
COALINDIA,ADANIENT,76.22%,,,,,,,,,,
DRREDDY,ADANIENT,56.89%,,,,,,,,,,
EICHERMOT,ADANIENT,48.06%,,,,,,,,,,
GRASIM,ADANIENT,50.75%,,,,,,,,,,
HCLTECH,ADANIENT,44.09%,,,,,,,,,,
HDFCBANK,ADANIENT,4.57%,,,,,,,,,,
HDFCLIFE,ADANIENT,-12.99%,,,,,,,,,,
HEROMOTOCO,ADANIENT,72.29%,,,,,,,,,,
HINDALCO,ADANIENT,53.85%,,,,,,,,,,
HINDUNILVR,ADANIENT,-2.40%,,,,,,,,,,
ICICIBANK,ADANIENT,49.63%,,,,,,,,,,
INDUSINDBK,ADANIENT,14.13%,,,,,,,,,,
INFY,ADANIENT,33.32%,,,,,,,,,,
ITC,ADANIENT,1.13%,,,,,,,,,,
JSWSTEEL,ADANIENT,50.06%,,,,,,,,,,
KOTAKBANK,ADANIENT,10.23%,,,,,,,,,,
LT,ADANIENT,81.11%,,,,,,,,,,
M&M,ADANIENT,45.88%,,,,,,,,,,
MARUTI,ADANIENT,57.68%,,,,,,,,,,
NESTLEIND,ADANIENT,48.47%,,,,,,,,,,
NTPC,ADANIENT,68.46%,,,,,,,,,,
ONGC,ADANIENT,70.52%,,,,,,,,,,
POWERGRID,ADANIENT,66.21%,,,,,,,,,,
RELIANCE,ADANIENT,84.89%,,,,,,,,,,
SBILIFE,ADANIENT,37.91%,,,,,,,,,,
SBIN,ADANIENT,69.99%,,,,,,,,,,
SHRIRAMFIN,ADANIENT,46.94%,,,,,,,,,,
SUNPHARMA,ADANIENT,55.52%,,,,,,,,,,
TATACONSUM,ADANIENT,78.33%,,,,,,,,,,
TATAMOTORS,ADANIENT,78.40%,,,,,,,,,,
TATASTEEL,ADANIENT,73.20%,,,,,,,,,,
TCS,ADANIENT,60.14%,,,,,,,,,,
TECHM,ADANIENT,30.62%,,,,,,,,,,
TITAN,ADANIENT,45.71%,,,,,,,,,,
TRENT,ADANIENT,43.68%,,,,,,,,,,
ULTRACEMCO,ADANIENT,59.05%,,,,,,,,,,
WIPRO,ADANIENT,60.98%,,,,,,,,,,
ADANIENT,ADANIPORTS,84.58%,,,,,,,,,,
ADANIPORTS,ADANIPORTS,100.00%,,,,,,,,,,
APOLLOHOSP,ADANIPORTS,81.51%,,,,,,,,,,
ASIANPAINT,ADANIPORTS,-24.65%,,,,,,,,,,
AXISBANK,ADANIPORTS,77.02%,,,,,,,,,,
BAJAJ-AUTO,ADANIPORTS,88.77%,,,,,,,,,,
BAJAJFINSV,ADANIPORTS,21.51%,,,,,,,,,,
BAJFINANCE,ADANIPORTS,-48.61%,,,,,,,,,,
BEL,ADANIPORTS,90.04%,,,,,,,,,,
BHARTIARTL,ADANIPORTS,82.00%,,,,,,,,,,
BPCL,ADANIPORTS,94.11%,,,,,,,,,,
BRITANNIA,ADANIPORTS,72.94%,,,,,,,,,,
CIPLA,ADANIPORTS,89.40%,,,,,,,,,,
COALINDIA,ADANIPORTS,95.88%,,,,,,,,,,
DRREDDY,ADANIPORTS,83.33%,,,,,,,,,,
EICHERMOT,ADANIPORTS,80.91%,,,,,,,,,,
GRASIM,ADANIPORTS,85.94%,,,,,,,,,,
HCLTECH,ADANIPORTS,62.89%,,,,,,,,,,
HDFCBANK,ADANIPORTS,31.60%,,,,,,,,,,
HDFCLIFE,ADANIPORTS,16.98%,,,,,,,,,,
HEROMOTOCO,ADANIPORTS,92.72%,,,,,,,,,,
HINDALCO,ADANIPORTS,80.40%,,,,,,,,,,
HINDUNILVR,ADANIPORTS,23.89%,,,,,,,,,,
ICICIBANK,ADANIPORTS,83.19%,,,,,,,,,,
INDUSINDBK,ADANIPORTS,-19.56%,,,,,,,,,,
INFY,ADANIPORTS,60.45%,,,,,,,,,,
ITC,ADANIPORTS,33.44%,,,,,,,,,,
JSWSTEEL,ADANIPORTS,76.78%,,,,,,,,,,
KOTAKBANK,ADANIPORTS,10.00%,,,,,,,,,,
LT,ADANIPORTS,85.49%,,,,,,,,,,
M&M,ADANIPORTS,80.30%,,,,,,,,,,
MARUTI,ADANIPORTS,78.35%,,,,,,,,,,
NESTLEIND,ADANIPORTS,35.76%,,,,,,,,,,
NTPC,ADANIPORTS,92.79%,,,,,,,,,,
ONGC,ADANIPORTS,93.30%,,,,,,,,,,
POWERGRID,ADANIPORTS,94.26%,,,,,,,,,,
RELIANCE,ADANIPORTS,89.98%,,,,,,,,,,
SBILIFE,ADANIPORTS,68.17%,,,,,,,,,,
SBIN,ADANIPORTS,92.53%,,,,,,,,,,
SHRIRAMFIN,ADANIPORTS,79.40%,,,,,,,,,,
SUNPHARMA,ADANIPORTS,83.33%,,,,,,,,,,
TATACONSUM,ADANIPORTS,82.31%,,,,,,,,,,
TATAMOTORS,ADANIPORTS,91.65%,,,,,,,,,,
TATASTEEL,ADANIPORTS,83.43%,,,,,,,,,,
TCS,ADANIPORTS,81.75%,,,,,,,,,,
TECHM,ADANIPORTS,65.93%,,,,,,,,,,
TITAN,ADANIPORTS,21.52%,,,,,,,,,,
TRENT,ADANIPORTS,77.94%,,,,,,,,,,
ULTRACEMCO,ADANIPORTS,85.55%,,,,,,,,,,
WIPRO,ADANIPORTS,79.88%,,,,,,,,,,
ADANIENT,APOLLOHOSP,59.48%,,,,,,,,,,
ADANIPORTS,APOLLOHOSP,81.51%,,,,,,,,,,
APOLLOHOSP,APOLLOHOSP,100.00%,,,,,,,,,,
ASIANPAINT,APOLLOHOSP,-15.79%,,,,,,,,,,
AXISBANK,APOLLOHOSP,60.74%,,,,,,,,,,
BAJAJ-AUTO,APOLLOHOSP,89.38%,,,,,,,,,,
BAJAJFINSV,APOLLOHOSP,50.91%,,,,,,,,,,
BAJFINANCE,APOLLOHOSP,-41.09%,,,,,,,,,,
BEL,APOLLOHOSP,75.21%,,,,,,,,,,
BHARTIARTL,APOLLOHOSP,86.55%,,,,,,,,,,
BPCL,APOLLOHOSP,87.27%,,,,,,,,,,
BRITANNIA,APOLLOHOSP,76.19%,,,,,,,,,,
CIPLA,APOLLOHOSP,89.55%,,,,,,,,,,
COALINDIA,APOLLOHOSP,80.01%,,,,,,,,,,
DRREDDY,APOLLOHOSP,85.72%,,,,,,,,,,
EICHERMOT,APOLLOHOSP,72.04%,,,,,,,,,,
GRASIM,APOLLOHOSP,80.74%,,,,,,,,,,
HCLTECH,APOLLOHOSP,91.26%,,,,,,,,,,
HDFCBANK,APOLLOHOSP,42.93%,,,,,,,,,,
HDFCLIFE,APOLLOHOSP,48.37%,,,,,,,,,,
HEROMOTOCO,APOLLOHOSP,81.31%,,,,,,,,,,
HINDALCO,APOLLOHOSP,72.15%,,,,,,,,,,
HINDUNILVR,APOLLOHOSP,38.82%,,,,,,,,,,
ICICIBANK,APOLLOHOSP,85.31%,,,,,,,,,,
INDUSINDBK,APOLLOHOSP,-44.74%,,,,,,,,,,
INFY,APOLLOHOSP,84.32%,,,,,,,,,,
ITC,APOLLOHOSP,53.05%,,,,,,,,,,
JSWSTEEL,APOLLOHOSP,80.01%,,,,,,,,,,
KOTAKBANK,APOLLOHOSP,23.47%,,,,,,,,,,
LT,APOLLOHOSP,71.26%,,,,,,,,,,
M&M,APOLLOHOSP,75.86%,,,,,,,,,,
MARUTI,APOLLOHOSP,56.38%,,,,,,,,,,
NESTLEIND,APOLLOHOSP,16.71%,,,,,,,,,,
NTPC,APOLLOHOSP,90.10%,,,,,,,,,,
ONGC,APOLLOHOSP,79.55%,,,,,,,,,,
POWERGRID,APOLLOHOSP,83.09%,,,,,,,,,,
RELIANCE,APOLLOHOSP,64.54%,,,,,,,,,,
SBILIFE,APOLLOHOSP,81.73%,,,,,,,,,,
SBIN,APOLLOHOSP,73.99%,,,,,,,,,,
SHRIRAMFIN,APOLLOHOSP,90.02%,,,,,,,,,,
SUNPHARMA,APOLLOHOSP,94.80%,,,,,,,,,,
TATACONSUM,APOLLOHOSP,66.89%,,,,,,,,,,
TATAMOTORS,APOLLOHOSP,68.80%,,,,,,,,,,
TATASTEEL,APOLLOHOSP,52.09%,,,,,,,,,,
TCS,APOLLOHOSP,86.19%,,,,,,,,,,
TECHM,APOLLOHOSP,84.99%,,,,,,,,,,
TITAN,APOLLOHOSP,26.89%,,,,,,,,,,
TRENT,APOLLOHOSP,87.76%,,,,,,,,,,
ULTRACEMCO,APOLLOHOSP,83.00%,,,,,,,,,,
WIPRO,APOLLOHOSP,90.69%,,,,,,,,,,
ADANIENT,ASIANPAINT,-18.65%,,,,,,,,,,
